antecedents,consequents,support,confidence,lift,leverage,conviction
POPPY'S PLAYHOUSE LIVINGROOM,POPPY'S PLAYHOUSE BEDROOM,0.0106,0.827,53.9529,0.010358,5.6908
POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE LIVINGROOM,0.0106,0.6886,53.9529,0.010358,3.1699
POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE LIVINGROOM,0.0114,0.661,51.7948,0.011178,2.9124
POPPY'S PLAYHOUSE LIVINGROOM,POPPY'S PLAYHOUSE KITCHEN,0.0114,0.8931,51.7948,0.011178,9.1958
POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE KITCHEN,0.0131,0.8538,49.5148,0.012823,6.7226
POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE BEDROOM,0.0131,0.7589,49.5148,0.012823,4.0849
SET/6 RED SPOTTY PAPER PLATES,SET/6 RED SPOTTY PAPER CUPS,0.011,0.6634,46.748,0.010773,2.9288
SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES,0.011,0.7757,46.748,0.010773,4.3852
"KEY FOB , BACK DOOR","KEY FOB , FRONT  DOOR",0.0102,0.5546,42.5877,0.009989,2.2158
"KEY FOB , FRONT  DOOR","KEY FOB , BACK DOOR",0.0102,0.7855,42.5877,0.009989,4.5768
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN TREE CHRISTMAS SCANDINAVIAN,0.0108,0.5458,40.4961,0.010578,2.1718
WOODEN TREE CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,0.0108,0.8048,40.4961,0.010578,5.0216
"KEY FOB , SHED","KEY FOB , GARAGE DESIGN",0.0102,0.4869,37.3876,0.009956,1.9234
"KEY FOB , GARAGE DESIGN","KEY FOB , SHED",0.0102,0.7855,37.3876,0.009956,4.5648
RED STRIPE CERAMIC DRAWER KNOB,BLUE STRIPE CERAMIC DRAWER KNOB,0.0114,0.6654,35.6357,0.01111,2.9329
BLUE STRIPE CERAMIC DRAWER KNOB,RED STRIPE CERAMIC DRAWER KNOB,0.0114,0.6122,35.6357,0.01111,2.5342
"KEY FOB , BACK DOOR","KEY FOB , SHED",0.0134,0.7254,34.5232,0.012992,3.5645
"KEY FOB , SHED","KEY FOB , BACK DOOR",0.0134,0.6368,34.5232,0.012992,2.7024
FELTCRAFT PRINCESS CHARLOTTE DOLL,FELTCRAFT PRINCESS LOLA DOLL,0.0113,0.6056,34.4066,0.010941,2.4908
FELTCRAFT PRINCESS LOLA DOLL,FELTCRAFT PRINCESS CHARLOTTE DOLL,0.0113,0.6402,34.4066,0.010941,2.7278
"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",PINK REGENCY TEACUP AND SAUCER,0.0105,0.7216,33.7706,0.01021,3.5152
