Source,Target,Weight,confidence,support
POPPY'S PLAYHOUSE LIVINGROOM,POPPY'S PLAYHOUSE BEDROOM,53.9529,0.827,0.0106
POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE LIVINGROOM,53.9529,0.6886,0.0106
POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE LIVINGROOM,51.7948,0.661,0.0114
POPPY'S PLAYHOUSE LIVINGROOM,POPPY'S PLAYHOUSE KITCHEN,51.7948,0.8931,0.0114
POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE KITCHEN,49.5148,0.8538,0.0131
POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE BEDROOM,49.5148,0.7589,0.0131
SET/6 RED SPOTTY PAPER PLATES,SET/6 RED SPOTTY PAPER CUPS,46.748,0.6634,0.011
SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES,46.748,0.7757,0.011
"KEY FOB , BACK DOOR","KEY FOB , FRONT  DOOR",42.5877,0.5546,0.0102
"KEY FOB , FRONT  DOOR","KEY FOB , BACK DOOR",42.5877,0.7855,0.0102
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN TREE CHRISTMAS SCANDINAVIAN,40.4961,0.5458,0.0108
WOODEN TREE CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,40.4961,0.8048,0.0108
"KEY FOB , SHED","KEY FOB , GARAGE DESIGN",37.3876,0.4869,0.0102
"KEY FOB , GARAGE DESIGN","KEY FOB , SHED",37.3876,0.7855,0.0102
RED STRIPE CERAMIC DRAWER KNOB,BLUE STRIPE CERAMIC DRAWER KNOB,35.6357,0.6654,0.0114
BLUE STRIPE CERAMIC DRAWER KNOB,RED STRIPE CERAMIC DRAWER KNOB,35.6357,0.6122,0.0114
"KEY FOB , BACK DOOR","KEY FOB , SHED",34.5232,0.7254,0.0134
